category,final_text
business,ask jeeves become third lead online search firm week thank revival internet advertise improve fortune firm revenue nearly triple fourth quarter exceed ask jeeves among best know name web relatively modest player profit quarter announce rival google earlier week quarter yahoo earn tip online advertise trend take hold relatively quickly late last year market company one lead provider online advertise warn business would put sale thursday announce sharp turnaround bring unexpected increase profit neither ask jeeves thrill investor profit news however case share fell analyst attribute fall excessive expectation quarter fuel dramatic google tuesday
business,indonesia government confirm consider raise fuel price much million indonesian use basic cook price heavily subsidise year president government say want curb fuel subsidy direct money aid program poor critic argue cut subsidy hurt poorer family government say want help million people leave indonesia aceh region follow earthquake tsunami disaster late december indonesia pay subsidy order stabilise domestic fuel price higher oil price force government spend hold price spend trillion rupiah bn bn fuel subsidy sum far excess original projection trillion rupiah since president government come power october indicate intention raise domestic fuel price cut subsidy january march quarter year best time u increase fuel price say sri state minister national development plan still consider hike suitable moment sooner better state budget bbc correspondent jakarta harvey tell world business report likely strong public reaction price rise big question whether go one big short sharp shock raise price whether try stagger say indonesia previous government lead president also attempt cut subsidy force back face public protest
business,struggle japanese car maker mitsubishi motor strike deal supply french car maker sport utility vehicle suv two firm sign understand say expect seal final agreement spring alliance come badly need boost loss make mitsubishi several profit warn poor sale suv build japan use diesel engine sell mainly european market fall sale leave mitsubishi motor capacity production deal give chance utilise january mitsubishi motor issue third profit warn nine month cut sale forecast year march sale slide past year revelation company hide record fault secretly repair vehicle result japanese car maker seek series financial last month say look bn yen bn bn fresh financial back half company mitsubishi group u german carmaker shareholder mitsubishi motor decide april pump money deal celebrate mitsubishi newly appoint chief executive take three top bos stand last month shoulder responsibility firm trouble mitsubishi motor forecast net loss bn yen current financial year march last month sign production agreement japanese rival nissan motor supply small car sale japan make car nissan since
business,daily sunday telegraph newspaper ax journalist job staff telegraph group say cut need fund investment new print facility journalist firm meet friday afternoon discus react surprise announcement cut come background fierce competition reader sluggish advertise revenue amid competition online advertise national union journalist call management recall notice redundancy monday face strike ballot pearson financial time say last week offer voluntary redundancy reporter national union journalist say stand strongly behind journalist rule strike manager tear agree procedure kick staff teeth sack people pay print facility say jeremy general secretary official barry say company ignore day consultation period require company plan redundancy show complete right member say mr add company plan observe consultation procedure two telegraph title currently employ journalist newspaper especially move tabloid format suffer circulation decline hit revenue telegraph announce plan go tabloid although independent time see circulation rise since shrink size guardian hedge bet plan larger tabloid format like popular continental europe telegraph group buy twin frederick david last year previously lord black international brother currently sale another business retailer telegraph executive say two newspaper would add eight colour page come month journalist newspaper maintain quality daily telegraph sunday telegraph reader vital say however action improve production capability secure title competition also vital many newspaper invest new print enable print colour page case colour every page hop boost colour make publication attractive advertiser reader alike recent month news corp news international unit publish sun news world guardian medium group mirror daily mail general trust announce substantial investment new print plant
business,air passenger unable board flight cancellation flight delay demand greater compensation new eu rule set compensation euro euro depend length flight new rule apply schedule charter flight include budget airline airline attack legislation say could force push price higher cover extra cost european commission face two legal challenge one european low fare airline association international air transport association attack package bad piece legislation previously passenger could claim euro euro stop board however schedule flight operator oblige offer compensation case offer compensation flight cancellation eu decide increase passenger compensation bid deter airline deliberately flight often lead bump passenger move later flight happen passenger airline offer compensation addition flight cancel delay two hour fault airline passenger must pay compensation however airline offer compensation flight cancel delay due extraordinary circumstance airline fear extraordinary circumstance may include bad weather security alert strike event outside control eu base airline operator flight take eu new compensation regime come force thursday low cost airline criticise new compensation level argue pay could worth ticket piece legislation among airline fight ryanair deputy chief executive michael tell radio today programme european region airline association claim neither airline consumer consult change andy clarke director air transport say ec advice mislead customer lead believe airline could payouts flight delay bad weather ec spokeswoman concede grey area say big airline make case dispute national enforcement body would decide whether passenger case say new technology mean easier airline take land bad weather add mr clarke also warn airline would comply new rule extra cost would pas onto passenger reckon go cost european air passenger airline airline money pay passenger bn euro bn year load onto european passenger mr clarke say basically transfer money passenger whose journey disrupt passenger whose journey disrupt wednesday jacques vice president european commission also commissioner transport say change necessary boom air travel need accompany proper protection passenger right concrete example union benefit people daily live add ec launch information campaign airport travel agency inform airline passenger new right
business,china effort stop economy clamp credit continue state medium report curb introduce earlier year ward risk rapid expansion might lead soar price also fear much stress might place fragile bank system growth china remain corporate investment grow year pace economic expansion keep growth year rapid tool china manufacture sector mean massive demand energy one factor keep world oil price sky high year theory government growth target continue insist mean hard land shape economy low exchange rate china yuan peg rate dollar seem relentless decline mean chinese export cheap world market china thus far resist international pressure break link least shift level peg extent credit control seem take effect industrial output grow year october february inflation slow although retail sale still boom
business,parmalat italian food group centre one europe painful corporate scandal report double profit pre tax earn fourth quarter euro period le welcome news firm fin euro violate takeover rule five year ago firm seek bankruptcy protection december disclose bn euro hole account overall company debt close bn euro fall slowly brand well know italy overseas continue perform strongly however barely lose revenue since scandal break crucial factor company future legal complex financial position tuesday company administrator turnaround expert sue morgan stanley former banker return euro relate bond deal bring number bank mr sue mass legal action could bring much bn euro company also sue former auditor financial advisor damage criminal case company former management proceed separately
business,india rupee hit five year high standard poor p raise country foreign currency rat rupee climb per u dollar thursday close currency gain almost past three session p rat lift india rat one notch indian asset see le gamble cash expect flow market buoy rupee upgrade positive basically people use excuse come back india say strategist ubs money move india first two three week january market like korea thailand upgrade lead india foreign currency rat one notch investment grade start increase put level romania egypt el one level russia
business,india raise limit foreign direct investment telecom company communication minister say need fund fast grow mobile market government hop increase number mobile user million million need least bn bn investment part come foreign direct investment say mr decision raise limit foreign investor face considerable opposition communist party give crucial support coalition head prime minister potential foreign investor however need government approval increase stake beyond mr say key position chief executive chief technology officer chief financial officer hold indian add analyst investor welcome government decision positive development carrier investment community look take longer term view huge growth indian telecom market say gartner principal analyst couple rapid local market growth could really interest indian telecommunication industry add young investment bank morgan stanley forecast india mobile market likely grow year indian mobile market currently dominate four company ally singapore telecom link hong kong base sterling group tata group
business,customer try get call centre get quicker hang survey suggest past welcome message average hang second listen music drop come number call call centre grow rate every year customer get use idea always available society say firm dimension data commission survey however call centre also saw sharp increase customer simply abandon call say record last year phone message system take customer pick way multiple option message number abandon call even higher sixth give rather wait one possible reason lack say fact customer call move use mobile phone surge customer try get call centre also reflection centre grow range task call centre may look mortgage agent may also responsible credit card insurance current account say problem occur increase responsibility go hand hand train survey find dimension data call alarm development average time call centre worker fell last year day leave agent equip deal customer warn scary good bottom line either poor train frustrate call centre worker customer result call centre high rate nearly quarter worker throw every year turn force company pay train new staff resolution rat number call customer query resolve mutual satisfaction run query pas second third person specialist manager rat rise still well industry target resolution rate suggestion outsource relocate call centre low cost country like india south africa blame wrong say big difference wait time call resolution call centre base europe north america develop country around world make call centre perform anywhere good management right process place say however company decide offshore operation drive cost consideration say save money main consideration close domestic call centre operation half argue worker country offer better skill money everybody believe outsource solution nearly two third firm poll survey plan offshore call centre give three key reason make move call centre operation part business core function worry risk go abroad fear damage brand join drive survey conduct behalf dimension data base depth call centre country five continent experience call centre happy listen want immediate response work call centre train prepare job
business,leisure group rank could unveil plan film service unit sell medium business report claim rank formerly famous carry series expose shake announcement result friday sunday telegraph report advisor understand value film unit report add speculation possible shake mount since rank announce study possible september since mike smith appointment chief executive group focus fewer business embark major cost cut programme see number business include cinema chain studio move leave group three core division game hard rock film provide technical service hollywood studio rank aim concentrate game bar hotel business include extend hard rock brand casino trial success also medium make distribute dvd video however business see le successful last year make profit turnover expert suggest success move dvd vhs video could make attractive target private equity buyer spokesman firm refuse comment report say result study likely set unveil result friday analyst predict firm likely report slight drop annual pre tax profit last year form firm lead uk film producer cinema owner many year diversify range leisure activity mainly uk include hotel service area holiday centre casino chain hard rock cafe country
business,number people work europe largest economy rise straight month growth remain slow german unemployment rise november million people workforce seasonally adjust rise show smaller rise expect government measure encourage job creation begin take effect official say growth still stifle job market clear sign revival domestic demand say frank head federal labour agency statement growth third quarter still deliver positive momentum labour market high oil price soar euro damage competitiveness exporter also negative effect say unemployment still felt eastern part germany rate unemployment stick million year government chancellor gerhard schroeder put job creation top agenda controversial package measure shake incentive get back work pay cut benefit spark anger among german worker strike number industry notably among country iconic carmaker demonstrate well fear job loss outsource take hold among new initiative call one euro job top unemployment benefit scheme formal launch january hire position already take place affect unemployment statistic economist say labour market come surprise say job creation measure probably prevent stronger increase seasonally adjust number
business,french economy pick speed end official figure show still look set fall short government hop accord state statistic body growth three month december seasonally adjust ahead forecast confirm would best quarterly show since early leave gdp full year short french government predict despite apparent shortfall annual economic growth good quarterly figure call flash estimate mark continue trend improve indicator health french economy government reiterate target european central bank make positive noise nation eurozone whole also friday france industrial output december release show growth number good say david economist deutsche bank send positive signal rebound output open way trend new year service sector activity improve january hit seven month high unemployment remain high
business,gap u export import hit time high bn bn latest figure show commerce department say trade deficit last year previous record bn deficit china bn largest ever record single country however monthly basis u trade gap narrow december bn u consumer appetite thing oil import car even wine cheese reach record level last year figure likely spark fresh criticism president bush economic policy democrat claim administration enough clamp unfair foreign trade practice example believe china currency policy u manufacturer claim undervalue yuan much give china rapidly expand economy unfair advantage u competitor meanwhile bush administration argue u deficit reflect fact america grow faster rate rest world spur demand import good economist say may allow upward u economic growth fourth quarter others point deficit reach proportion foreigner many choose hold many dollar asset may turn harm growth u export rise trillion import rise even faster new record trillion foreign oil export surge record bn reflect rally global oil price increase domestic demand import affect dollar weakness last year expect deficit continue widen even dollar get back downward trend say economist marie pierre
business,judge dismiss attempt russian oil giant yukos gain bankruptcy protection u yukos file chapter protection houston unsuccessful attempt halt auction yugansk division russian authority court rule blow effort get damage sale yugansk yukos claim illegally sell separately former yukos bos mikhail khodorkovsky begin testimony friday trial fraud tax evasion mr khodorkovsky jail year plead guilty charge bring deny involvement criminal activity pride head year number successful company help enterprise rise knee tell russian court yugansk auction help pay bn bn unpaid tax buy bn previously unknown group turn buy almost immediately state control oil company rosneft texas judge clark say yukos enough u presence establish u jurisdiction vast majority business financial activity yukos continue occur russia judge clark say rule activity require continue participation russian government yukos argue u court entitle declare bankrupt yugansk unit sell since local bank account chief finance officer bruce live houston yukos claim seek help u forum russian court european court human right either offer le protection russia indicate would case abide rule u court rule judge acknowledge appear likely agency russian government act manner would consider unite state law say role simply decide jurisdiction u court jurisdiction challenge deutsche bank former unit russian gas monopoly gazprom due merge rosneft analyst say ability gazprom rosneft trade freely overseas stifle ownership yugansk remain unclear yukos say would consider option light rule however claim court back argument four five key issue believe merit case strong simple say chief executive steven asset illegally seize want back damage pay
business,world biggest carmaker general motor gm recall nearly vehicle u safety ground accord federal regulator national traffic safety administration say largest recall involve van sport utility vehicle suv possible malfunction brake system affect vehicle product recall model year gm say vehicle potential fault express say pressure brake system could crack normal drive fragment could injure people open could allow fluid leak could make harder brake steer could cause crash warn gm also recall suv grand prix model year may work properly extremely cold temperature require brake addition car giant call back model year properly fit could fall crash however gm stress know injury relate problem news recall follow announcement last month gm expect earn year lower world biggest car maker loss european business weak u sale product recall january gm say higher healthcare cost north america lower profit financial service subsidiary would hurt performance
business,mittal steel one world largest steel producer could cut job next five year chief executive say netherlands base company due complete bn acquisition u firm next month make one largest global firm kind however mittal tell investor combine company shed thousand job indian bear say job loss would fall mr mittal tell u investor acquisition international steel group complete company would aim reduce workforce annually could see workforce trim staff invest employee go mr mittal tell conference chicago mittal steel form last year mr mittal hold merge dutch firm combination mittal steel would annual sale bn bn bn euro production capacity million tonne mittal steel say decision job cut make yet try create sustainable steel industry want invest new technology spokesman say mittal steel operation country many business particularly eastern europe previously state huge workforce employ staff alone large operation romania czech republic south africa unite state
business,crude oil price surge back barrel mark thursday energy market watchdog raise forecast global demand international energy agency warn demand opec crude first quarter would outstrip supply raise estimate oil demand growth barrel day million barrel day u light crude rise brent crude london gain paris base watchdog advise nation energy policy say upward due stronger demand china asian country fresh rally crude price follow gain wednesday trigger large fall u crude supply follow cold spell north america january u department energy report crude stockpile fall barrel top ongoing problem russian oil giant yukos also prompt revise output estimate russia major non opec supplier think price begin set new range look like level say energy analyst barclays capital
business,venezuelan authority say seize land british company part president chavez reform programme official state say friday subsidiary group would take use settle poor farmer government crack call large rural estate say lie idle group say inform plan firm whose subsidiary operate farm venezuela insist comply fully venezuelan law prosecutor south country target el beef ranch accord reuters plan seize farm official claim valid document prove ownership land question also allege area ranch use form active production legal boundary match actual boundary surplus state prosecutor tell reuters consequence government take action controversial reform pas give government right take control private property declare idle ownership trace back th century critic say power president chavez argue need help country poorest citizen develop venezuelan economy private property right group say land since would co operate fully authority spokesman add absolutely confident submit demonstrate legality title land company point farm employ worker provide solely venezuelan market last month government say identify idle farm yet consider status authority say whose title order whose farm productive nothing fear president chavez venezuelan government steadily expand state involvement country economy recently say mine contract involve foreign firm would examine ensure provide sufficient economic benefit state
business,soar cost oil hit global economic growth although world major economy weather storm price rise accord oecd latest annual report oecd cut growth prediction world main industrialise region u growth would reach fall next year previous estimate oecd say however paris base economics think tank say believe global economy could still regain momentum forecast japanese growth also scale back year outlook worst member eurozone bloc already sluggish growth forecast slip year oecd say overall report forecast total growth member country oecd slip next year recover good reason believe despite recent oil price world economy regain momentum future say jean philippe oecd chief economist price crude higher start record high set late october dip oil price improve job prospect would improve consumer confidence spend oecd say oil shock enormous historical standard see worse seventy oil price rise think shock absorb within next quarter vincent senior economist oecd tell bbc world business report recovery interrupt bite oil shock year would regain momentum course china boom economy comeback japan albeit one falter recent month would help world economic recovery oecd say support strong balance sheet high profit recovery business investment continue north america start europe add however report warn remain see whether continental europe play strong supportive role mark final domestic demand oecd highlight current depress household expenditure germany eurozone reliance export lead growth
business,irish share rise record high investor persuade buy market low inflation strong growth forecast index lead share close point thursday fuel strong growth bank financial stock fall rate inflation january give fresh boost share advance month economy set strong growth interest rat remain low several ireland biggest company saw market value hit recent high thursday ally irish bank ireland biggest company capitalisation touch five year peak bank ireland share rise highest level since august telecom firm recently reveal would enter irish mobile phone market hit high analyst say economic condition irish share still trade discount european market ireland tick box far international investor concern roy chief investment officer investment manager tell reuters buoyant economic condition set continue ireland next year irish equity continue offer quality growth reasonable valuation bernard head equity research say equity represent good value compare investment still look good tell reuters see good economic data ireland benefit financial stock ireland economic enjoy second wind growth forecast economy cool enjoy growth however bounce back strongly growth expect
business,japan sumitomo financial withdraw takeover offer rival bank ufj hold enable latter merge mitsubishi tokyo sumitomo bos tell counterpart ufj decision friday clear way conclude trillion yen bn deal mitsubishi deal would create world biggest bank asset trillion yen trillion sumitomo exit end high profile fight japanese bank history ufj hold japan fourth largest bank centre fierce bid battle last year sumitomo japan third largest bank table higher offer ufj rival value company bn however ufj management know prefer offer mitsubishi tokyo financial group japan second largest bank concern also raise sumitomo ability absorb ufj former admit defeat believe market investor accept ufj merger sumitomo say statement give ongoing integration ufj operation proposal may best interest shareholder ufj mitsubishi takeover ufj japan largest ever takeover deal still approve shareholder two firm however expect sumitomo may turn attention tie daiwa security another japanese financial firm two set merge venture capital operation speculation could lead full blow merger japanese bank increasingly seek alliance boost profit
business,half money put aside government help country poor benefit people need study find total trillion peso bn bn earmark subsidy poor government department plan say also find trillion peso go richest part population rather need sound distribution cash could cut poverty level government believe resource enough reduce poverty need tax reform better distribution deputy plan director jose say population million half live poverty line however large property pay le tax inside poor area benefit cheaper utility electricity water government research find government expenditure area pension public service education property health revise mr say add government examine report warn would easy solution problem good distribution subsidy economic growth poverty could fall low say
business,job mg rover midland plant may cut investment firm chinese car maker go ahead financial time report shanghai automotive industry corp plan shift production rover china export uk source close negotiation tell ft rover tell bbc news report job cut speculation tie see rover last chance save plant push uk chancellor gordon brown rover confirm tie would take place far away time rover bos say confident bn bn investment deal would sign march early april transport general worker union general secretary tony repeat view friday merger lead job cut say investment new model need ensure future birmingham plant crucial time effort target secure new model company mean job people say say none money pay four owner rover accuse union award salary ft report extremely concern ensure money use invest business rather distribute shareholder newspaper quote source close chinese firm meanwhile accord chinese state press report small state carmaker auto negotiation rover take stake joint venture unavailable comment job cut contact bbc news rover sign technology share agreement august
business,uk advertise giant post larger expect annual profit predict outperform market pre tax profit rise year ago reach bn ahead average analyst forecast revenue bn firm operate margin say could reach year buy u rival grey global create giant big enough rival sector leader chief executive martin friday tell reuters news agency submit proposal unite business medium world market research unit analyst say unit sell could sell recent year also buy firm communication also include firm young j walter thompson event olympics help boost profit company say u election fifa world cup likely present advertise opportunity near future long term outlook look favourable medium technology development strength u economy say
business,foreign firm give extra year meet tough new corporate governance regulation impose u stock market watchdog security exchange commission extend deadline get line rule july many foreign firm protest sec impose unfair burden new rule result sarbanes oxley act part u clean corporate scandal enron worldcom section act legislation nickname call firm financial report line u rule big u firm already meet requirement smaller one foreign base firm list share u stock market originally middle year past month delegation european business leader head sec washington dc headquarter protest say burden expensive short particularly uk cbi warn company would choose let u list drop rather get line section latest delegation cbi meet sec official wednesday decision relax deadline announce think change heart sec cbi director general sir digby jones tell bbc today programme listen u many overseas company remind america globalisation really mean make rule sec say take consideration fact foreign company already work meet financial report rule home country european union particular impose new international financial report standard note underestimate effort compliance require extension provide additional time take good hard look internal control say sec chief accountant
business,one japan best know arrest thursday charge falsify shareholder information sell share base false data rank world richest man run business hotel railway construction team latest series arrest top executive japan business scandal take away van outside one prince hotel tokyo time mr seem inherit large property business father become one japan powerful close connection many country lead politician use wealth influence bring winter olympic game last year force resign post hold business empire accuse falsify share ownership structure railway one company japanese stock market rule list company largest shareholder mr face criminal charge possibility prison sentence make look biggest shareholder le amount railway delist stock exchange share value plunge target takeover bid mr fall grace follow arrest several top executive japan authority try curb business practice widespread japanese company determination stay top cost may childhood illegitimate third son rich father make money buy property japan rebuild world war ii describe demand father make felt enormous pressure nothing pain tell weekly magazine pour much tell fruit child let use silk say luxury corporate governance issue japanese company last year twelve manager mitsubishi motor charge cover safety defect vehicle three executive japan trouble ufj bank charge conceal extent bank bad loan
business,german telecom firm deutsche telekom saw strong fourth quarter profit back upbeat u mobile earn better expect asset sale net profit come bn euro bn dramatic change loss euro sale rise bn euro sale stake firm include russia mobile raise bn euro expect help bring debt bn euro year ago debt bn euro higher mobile usa company american mobile business make strong contribution profit achievement cut debt low give head room invest growth say telecom analyst company also say would resume pay dividend two year focus cut debt
business,italy agree buy largest wine maker china say statement stock exchange pay yuan government approve deal italian maker acquire share state asset management bureau chinese wine sale grow u agriculture department say wine sale bn yuan china encourage state company sell share foreign investor heineken scottish newcastle invest chinese beer industry last two year bet chinese wine market state asset management bureau government agency north eastern city state agency also sell stake another overseas company although say remain retain city government consumption wine china still low litre per say u agriculture department compare litre france litre u three litre japan
business,uk firm post rise annual profit sale england football kit boost euro tournament pre tax profit recently lose sponsorship deal chelsea celtic say thursday sign new four year agreement scottish club ranger hop sale benefit launch new england shirt ahead world cup january announce sponsorship agreement chelsea give lucrative right make shirt would end five year earlier expect firm receive payment chelsea say number additional investment opportunity result compensation chief executive peter say firm plan grow sale uk internationally firm report first annual result since list london stock exchange june say uk market see sale growth last year say launch evolution x fashion range boost sale supply team across world include national side ireland sweden norway share penny morning trade
business,federal reserve chairman alan greenspan warn allow huge u budget deficit continue could severe consequence speak house budget committee urge congress take action cut deficit increase tax u economy grow good pace warn budget concern cloud economic outlook u pension healthcare cost pose greatest risk economy say government program face severe financial strain come decade massive baby boom generation retire fear may already commit physical resource baby boom generation retirement year economy capacity deliver exist promise need change change make sooner rather later mr greenspan say also warn unless nation see unprecedented rise productivity retirement health program would need significant change call congress cut promise benefit retire promise benefit soon retire baby boom generation much larger government could afford meanwhile move narrow deficit gap raise tax could pose significant risk economy dampen growth spend add also urge congress rule require tax cut spend offset elsewhere budget effort prevent u head red despite warn mr greenspan offer good news short term u growth gather steam income rise lead narrow deficit recent increase defence homeland security spend also expect continue indefinitely cut cost since president george w bush come office federal budget swing record surplus record deficit bn last year
